,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,bfb535ffc9e6507474f01e01f82cf43c6d98f4d5a07b6a3fa05e5c0108cabdca,2744.873011182695,1069.3931122937684,988.8965368697953,945.424686030521,890.6155663931851,806.7135773835574,746.2375666706288,741.3569067916555,654.8414467266091,598.366715133746,561.8016105869783,479.73105092803,468.7140213759282,428.5808085887145,323.205087478529,283.15901038983213,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,2.071338417552255e-13,4.078670210014948e-14
1,ddf309da0ad341ead68eb8f2a153a0d091e4e9783069747fb851a41f78e5fbba,2991.0912241727,1122.4635843797425,994.595396342902,950.146281081689,881.2292759208891,799.1202629092284,726.1159987881773,680.6354344892047,625.9014086179955,592.6446331040273,558.1814994072791,535.1097965249895,493.48895679505875,400.81104387909863,307.497445543731,206.0551512661681,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,2.3765805908614136e-13,9.041784869524672e-14
2,bc7e194c1069464016f73fe031f0699c922b7b1708d32b70e9f0f6ef7cfede29,2813.018422151367,1069.0421032923477,965.7433129277844,913.0533071300941,887.2128549012425,832.0459164408735,793.4271086736417,744.4420668068434,724.1211042004375,603.2391746053653,538.6095253362571,512.0896517278493,422.05997312092967,403.33678134606197,351.51917516855417,292.51736221330754,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,2.0305030163651356e-13,1.242825574966693e-13
3,e45caa25f87531cff2ee2803374ac78de0757941dd1311e3411ce4cdf6d5d942,2976.3770542478997,1084.6028091961964,993.5305739828815,949.424329663868,837.0862267609872,814.1002445129784,758.0031674318082,730.136739417446,652.4432127193886,564.7944975854241,517.6561562692481,492.64991506258195,427.6611549086752,403.4924451768166,294.8816311419282,208.23928645320058,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,2.1796605316150659e-13,6.394380641383884e-14
4,ba48a05e03073cdbd8230ba9194eb1866d9f790ab0f10d949295e5479825b927,3141.0161425046726,1175.619106823146,963.3569819483148,890.6112668560532,843.1425668065502,781.0657145448284,756.6878657372199,732.3583340525545,672.723730950922,637.4135980066113,635.6489233957907,477.3843254213577,445.0727842250141,410.25880890810043,312.4581003714995,269.59805592103874,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,2.2484951209205578e-13,1.252598163929631e-13
5,d6ad22b972ebb8d430a0bdca25f18dbdf381458534a2f9100c86d69d325359eb,3012.891184358774,1193.794913284734,1028.5667946031776,969.9904263245071,849.4997777722169,818.1780769622935,751.8145312196373,678.8911322901132,608.7245401222947,602.8253980374618,536.589884945617,482.15454629153015,437.8046816873567,392.7503641240234,269.29050027495146,234.38631024098635,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.086195187633717e-13,2.231898922205449e-14
6,cffe83401208fbdbcd279caf4cb4a08a4e7d6e9faeb707cab2fc71d44f679d32,2780.970219155091,1130.4907416971157,997.8023256627037,924.8857051996265,825.2137773701229,782.3203916360101,764.1532433107463,734.7679661890515,635.1500481084174,577.1684635150584,514.5192446828795,493.04039069196955,439.06372238650243,392.9604117107478,241.25476804696132,162.3223888248296,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.8966605159272065e-13,1.1787034623165435e-13
7,c8bfece50a82fe8dd63681cbbc189293e709ab56cca9abbde44cc8b232b8050f,2806.9044708564293,1062.153053803508,936.1414506822609,912.0071239618919,880.301112419548,833.017989736166,811.7131611762888,737.5906795842656,704.4835527892748,594.790981835528,566.0750437571202,484.92541850147217,454.0596616262794,426.5011818605556,297.9459965441865,276.8046772609127,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,2.0261750541117136e-13,5.4416588287203006e-14
8,bd9181fdfa5e2b20846b3abeef7ee5a63715f6de2c79424a2c73aec5d71e4be4,3092.5963115032014,1179.8850947733376,956.3342886198843,899.6970131398252,860.7846977645936,788.2828384961251,763.6739379886872,718.5306781072727,700.6437618018823,604.6672763530452,567.0184012234963,530.6293208101596,477.9158271951142,397.2184736927383,388.21820140040575,304.94084139302606,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,2.2646780215284406e-13,1.387683899753934e-13
9,bf882958dc318a9115adada2d4c74e98c48e467cb0c2558c612a35a485944476,3105.3326637065306,1169.63087852062,1011.2135734485616,875.0899045983737,838.3683750693103,757.0888103095185,740.2951514884417,682.3983593741176,643.3803673677938,575.3037218835685,540.6075505848869,486.06221452001773,445.37620920677796,420.9686751746064,328.22874905649775,246.0764468453257,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,2.4667543898328186e-13,5.286028789800161e-14
